ENSAIO,DIRECAO,VIA,VARIAVEL,Condition,Condition_2
FWD,IDA,CE-060,94.2,Unacceptable,REJECTION
FWD,IDA,CE-060,54.2,Acceptable,WARNING
FWD,IDA,CE-060,140.5,Unacceptable,REJECTION
FWD,IDA,CE-060,145.4,Unacceptable,REJECTION
FWD,IDA,CE-060,120.1,Unacceptable,REJECTION
FWD,IDA,CE-060,68.5,Unacceptable,EARLY CRACKING
FWD,IDA,CE-060,57.5,Unacceptable,WARNING
FWD,IDA,CE-060,63.9,Unacceptable,EARLY CRACKING
FWD,IDA,CE-060,74.4,Unacceptable,EARLY CRACKING
FWD,IDA,CE-060,56.9,Acceptable,WARNING
FWD,IDA,CE-060,46.9,Acceptable,WARNING
FWD,IDA,CE-060,74.9,Unacceptable,EARLY CRACKING
FWD,IDA,CE-060,66.6,Unacceptable,EARLY CRACKING
FWD,IDA,CE-060,41.9,Acceptable,WARNING
FWD,IDA,CE-060,52.4,Acceptable,WARNING
FWD,IDA,CE-060,149.2,Unacceptable,REJECTION
FWD,IDA,CE-060,39.8,Acceptable,ACCEPTED
FWD,IDA,CE-060,133.6,Unacceptable,REJECTION
FWD,IDA,CE-060,33.7,Acceptable,ACCEPTED
FWD,IDA,CE-060,44.8,Acceptable,WARNING
FWD,IDA,CE-060,34.4,Acceptable,ACCEPTED
FWD,IDA,CE-060,75.1,Unacceptable,EARLY CRACKING
FWD,IDA,CE-060,185.1,Unacceptable,REJECTION
FWD,IDA,CE-060,53.1,Acceptable,WARNING
FWD,IDA,CE-060,69.3,Unacceptable,EARLY CRACKING
FWD,IDA,CE-060,65.1,Unacceptable,EARLY CRACKING
FWD,IDA,CE-060,69.5,Unacceptable,EARLY CRACKING
FWD,IDA,CE-060,29.0,Acceptable,ACCEPTED
FWD,IDA,CE-060,143.5,Unacceptable,REJECTION
FWD,IDA,CE-060,84.3,Unacceptable,EARLY CRACKING
FWD,IDA,CE-060,104.7,Unacceptable,REJECTION
FWD,IDA,CE-060,35.4,Acceptable,ACCEPTED
FWD,VOLTA,CE-060,202.2,Unacceptable,REJECTION
FWD,VOLTA,CE-060,87.0,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-060,107.2,Unacceptable,REJECTION
FWD,VOLTA,CE-060,97.1,Unacceptable,REJECTION
FWD,VOLTA,CE-060,81.7,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-060,226.6,Unacceptable,REJECTION
FWD,VOLTA,CE-060,38.9,Acceptable,ACCEPTED
FWD,VOLTA,CE-060,92.2,Unacceptable,REJECTION
FWD,VOLTA,CE-060,73.9,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-060,59.2,Unacceptable,WARNING
FWD,VOLTA,CE-060,89.5,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-060,50.4,Acceptable,WARNING
FWD,VOLTA,CE-060,57.4,Unacceptable,WARNING
FWD,VOLTA,CE-060,111.2,Unacceptable,REJECTION
FWD,VOLTA,CE-060,54.9,Acceptable,WARNING
FWD,VOLTA,CE-060,61.5,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-060,83.9,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-060,31.7,Acceptable,ACCEPTED
FWD,VOLTA,CE-060,34.8,Acceptable,ACCEPTED
FWD,VOLTA,CE-060,42.6,Acceptable,WARNING
FWD,VOLTA,CE-060,43.7,Acceptable,WARNING
FWD,VOLTA,CE-060,71.8,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-060,44.7,Acceptable,WARNING
FWD,VOLTA,CE-060,140.2,Unacceptable,REJECTION
FWD,VOLTA,CE-060,98.3,Unacceptable,REJECTION
FWD,VOLTA,CE-060,39.8,Acceptable,ACCEPTED
FWD,VOLTA,CE-060,76.0,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-060,78.2,Unacceptable,EARLY CRACKING
FWD,VOLTA,CE-060,41.9,Acceptable,WARNING
FWD,VOLTA,CE-060,107.4,Unacceptable,REJECTION
