ENSAIO,DIRECAO,VIA,DIST,VARIAVEL,Condition
IRI,VOLTA,CE-350,0.0,5.98,Very Poor
IRI,VOLTA,CE-350,0.2,2.48,Good
IRI,VOLTA,CE-350,0.4,2.72,Fair
IRI,VOLTA,CE-350,0.6,2.81,Fair
IRI,VOLTA,CE-350,0.8,3.75,Poor
IRI,VOLTA,CE-350,1.0,3.46,Fair
IRI,VOLTA,CE-350,1.2,3.07,Fair
IRI,VOLTA,CE-350,1.4,2.78,Fair
IRI,VOLTA,CE-350,1.6,3.68,Poor
IRI,VOLTA,CE-350,1.8,5.9,Very Poor
IRI,VOLTA,CE-350,2.0,3.85,Poor
IRI,VOLTA,CE-350,2.2,3.24,Fair
IRI,VOLTA,CE-350,2.4,2.93,Fair
IRI,VOLTA,CE-350,2.6,3.08,Fair
IRI,VOLTA,CE-350,2.8,3.99,Poor
IRI,VOLTA,CE-350,3.0,3.3,Fair
IRI,VOLTA,CE-350,3.2,3.6,Poor
IRI,VOLTA,CE-350,3.4,4.34,Poor
IRI,VOLTA,CE-350,3.6,4.61,Poor
IRI,VOLTA,CE-350,3.8,6.43,Very Poor
IRI,VOLTA,CE-350,4.0,3.81,Poor
IRI,VOLTA,CE-350,4.2,4.76,Poor
IRI,VOLTA,CE-350,4.4,5.17,Poor
IRI,VOLTA,CE-350,4.6,4.3,Poor
IRI,VOLTA,CE-350,4.8,4.84,Poor
IRI,VOLTA,CE-350,5.0,3.87,Poor
IRI,VOLTA,CE-350,5.2,4.32,Poor
IRI,VOLTA,CE-350,5.4,4.52,Poor
IRI,VOLTA,CE-350,5.6,4.46,Poor
IRI,VOLTA,CE-350,5.8,4.13,Poor
IRI,VOLTA,CE-350,6.0,4.83,Poor
IRI,VOLTA,CE-350,6.2,5.23,Poor
IRI,VOLTA,CE-350,6.4,4.9,Poor
IRI,VOLTA,CE-350,6.6,7.03,Very Poor
IRI,VOLTA,CE-350,6.8,6.8,Very Poor
IRI,VOLTA,CE-350,7.0,7.91,Very Poor
IRI,VOLTA,CE-350,7.6,9.11,Very Poor
IRI,VOLTA,CE-350,7.8,7.95,Very Poor
IRI,VOLTA,CE-350,8.0,5.86,Very Poor
IRI,VOLTA,CE-350,8.2,5.77,Very Poor
IRI,VOLTA,CE-350,8.4,5.56,Very Poor
IRI,VOLTA,CE-350,8.6,5.26,Poor
IRI,VOLTA,CE-350,8.8,5.7,Very Poor
IRI,VOLTA,CE-350,9.0,5.82,Very Poor
IRI,VOLTA,CE-350,9.2,4.74,Poor
IRI,VOLTA,CE-350,9.4,3.99,Poor
IRI,VOLTA,CE-350,9.6,4.13,Poor
IRI,VOLTA,CE-350,9.8,5.02,Poor
IRI,VOLTA,CE-350,10.0,3.7,Poor
IRI,VOLTA,CE-350,10.2,6.58,Very Poor
IRI,VOLTA,CE-350,10.4,3.13,Fair
IRI,VOLTA,CE-350,10.6,4.11,Poor
IRI,VOLTA,CE-350,10.8,3.23,Fair
IRI,VOLTA,CE-350,11.0,3.36,Fair
IRI,VOLTA,CE-350,11.2,2.45,Good
IRI,VOLTA,CE-350,11.4,2.23,Good
IRI,VOLTA,CE-350,11.6,3.33,Fair
IRI,VOLTA,CE-350,11.8,3.11,Fair
IRI,VOLTA,CE-350,12.0,3.02,Fair
IRI,VOLTA,CE-350,12.2,2.21,Good
IRI,VOLTA,CE-350,12.4,2.42,Good
IRI,VOLTA,CE-350,12.6,2.81,Fair
IRI,VOLTA,CE-350,12.8,2.75,Fair
IRI,VOLTA,CE-350,13.0,2.55,Good
IRI,VOLTA,CE-350,13.2,2.61,Good
IRI,VOLTA,CE-350,13.4,2.3,Good
IRI,VOLTA,CE-350,13.6,2.74,Fair
IRI,VOLTA,CE-350,13.8,2.33,Good
IRI,VOLTA,CE-350,14.0,3.21,Fair
IRI,VOLTA,CE-350,14.2,2.64,Good
IRI,VOLTA,CE-350,14.4,2.37,Good
IRI,VOLTA,CE-350,14.6,2.93,Fair
IRI,VOLTA,CE-350,14.8,2.32,Good
IRI,VOLTA,CE-350,15.0,2.7,Good
IRI,VOLTA,CE-350,15.2,2.98,Fair
IRI,VOLTA,CE-350,15.4,2.46,Good
IRI,VOLTA,CE-350,15.6,2.79,Fair
IRI,VOLTA,CE-350,15.8,6.49,Very Poor
IRI,IDA,CE-350,0.0,2.92,Fair
IRI,IDA,CE-350,0.2,2.3,Good
IRI,IDA,CE-350,0.4,2.39,Good
IRI,IDA,CE-350,0.6,2.9,Fair
IRI,IDA,CE-350,0.8,2.29,Good
IRI,IDA,CE-350,1.0,3.06,Fair
IRI,IDA,CE-350,1.2,2.76,Fair
IRI,IDA,CE-350,1.4,2.88,Fair
IRI,IDA,CE-350,1.6,2.57,Good
IRI,IDA,CE-350,1.8,2.85,Fair
IRI,IDA,CE-350,2.0,2.35,Good
IRI,IDA,CE-350,2.2,2.51,Good
IRI,IDA,CE-350,2.4,2.33,Good
IRI,IDA,CE-350,2.6,2.65,Good
IRI,IDA,CE-350,2.8,2.41,Good
IRI,IDA,CE-350,3.0,2.74,Fair
IRI,IDA,CE-350,3.2,3.07,Fair
IRI,IDA,CE-350,3.4,2.48,Good
IRI,IDA,CE-350,3.6,2.88,Fair
IRI,IDA,CE-350,3.8,3.08,Fair
IRI,IDA,CE-350,4.0,2.75,Fair
IRI,IDA,CE-350,4.2,2.94,Fair
IRI,IDA,CE-350,4.4,2.56,Good
IRI,IDA,CE-350,4.6,3.19,Fair
IRI,IDA,CE-350,4.8,3.12,Fair
IRI,IDA,CE-350,5.0,3.11,Fair
IRI,IDA,CE-350,5.2,4.0,Poor
IRI,IDA,CE-350,5.4,3.69,Poor
IRI,IDA,CE-350,5.6,5.55,Very Poor
IRI,IDA,CE-350,5.8,4.48,Poor
IRI,IDA,CE-350,6.0,4.32,Poor
IRI,IDA,CE-350,6.2,4.3,Poor
IRI,IDA,CE-350,6.4,4.57,Poor
IRI,IDA,CE-350,6.6,4.68,Poor
IRI,IDA,CE-350,6.8,5.71,Very Poor
IRI,IDA,CE-350,7.0,4.65,Poor
IRI,IDA,CE-350,7.2,5.5,Poor
